,Question_codes,Questions
109,"['likert2[affRec5]_0', 'likertagree3[affRec5]_0']","[' [I am satisfied with the encouragement from my supervisor/line manager while doing my job]', ' Please rate the following propositions. There are no right or wrong answers [I am satisfied with the encouragement from my supervisor/line manager while doing my job]']"
110,"['likert2[affRec3]_0', 'likert4[affRec3]_0', 'likertagree2[affRec3]_0']","[' [I am satisfied with the recognition I receive from my supervisor/line manager for doing my job]', ' [I am satisfied with the recognition I receive from my supervisor/line manager for doing my job]', ' Please rate the following propositions. There are no right or wrong answers [I am satisfied with the recognition I receive from my supervisor/line manager for doing my job]']"
111,"['likert2[percEmp2]_0', 'likert4[percEmp2]_0', 'likertagree2[percEmp2]_0']","[' [I can think of a number of organisations that would probably offer me a job]', ' [I can think of a number of organisations that would probably offer me a job]', ' Please rate the following propositions. There are no right or wrong answers [I can think of a number of organisations that would probably offer me a job]']"
112,"['likert2[affSat3]_0', 'likertagree1[affSat3]_0']","[' [I feel fairly well satisfied with my job]', ' Please rate the following propositions. There are no right or wrong answers [I feel satisfied with my job]']"
113,"['likert2[affSat1]_0', 'likert4[affSat1]_0', 'likertagree2[affSat1]_0']","[' [I find real enjoyment in my job]', ' [I find real enjoyment in my job]', ' Please rate the following propositions. There are no right or wrong answers [I find real enjoyment in my job]']"
114,"['likert2[affSat4]_0', 'likertagree3[affSat4]_0']","[' [I like my job better than the average person]', ' Please rate the following propositions. There are no right or wrong answers [I like my job more than average]']"
115,"['fund2[16]_0', 'fund2[SQ001]_0', 'fund2[1]_1']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [I volunteer my time]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [I volunteer my time]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [I volunteer my time]']"
116,"['fund3[16]_0', 'fund3[1]_1']","[' Which of the following sources are used to fund your current, largest project? [I volunteer my time]', ' Which of the following sources are used to fund your current, largest project? [I volunteer my time]']"
117,"['fund4[16]_0', 'fund4[1]_1']","[' Which of the following sources were used to fund your current, largest project three years ago? [I volunteer my time]', ' Which of the following sources were used to fund your current, largest project three years ago? [I volunteer my time]']"
118,"['likert2[turnOver6]_0', 'likertagree3[turnOver6]_0']","[' [I would accept another job at the same compensation level if I was offered it]', ' Please rate the following propositions. There are no right or wrong answers [I would accept another job at the same compensation level if I was offered it]']"
119,"['currentEmp13[36]_0', 'currentEmp13[SQ036]_0', 'currentEmp13[37]_1']","[' In which disciplines do you work (select as many as apply) [Iberian Languages/Hispanic Studies]', ' In which disciplines do you work (select as many as apply)? [Iberian Languages/Hispanic Studies]', ' In which disciplines do you work (select as many as apply) [Iberian Languages/Hispanic Studies]']"
120,"['likert3[satisgen2]_0', 'likert5[satisgen2]_0', 'satisGen1[SQ002]_0', 'likert3[satisgen2]_1', 'likert3[satisGen2]_0']","[' [In general, how satisfied are you with Your career]', ' [In general, how satisfied are you with [Your career]]', ' In general, how satisfied are you with: [Your career]', ' [In general, how satisfied are you with [Your career]]', ' [In general, how satisfied are you with your career]']"
121,"['likert3[satisgen1]_0', 'likert5[satisgen1]_0', 'satisGen1[SQ001]_0', 'likert3[satisgen1]_1', 'likert3[satisGen1]_0']","[' [In general, how satisfied are you with Your current position]', ' [In general, how satisfied are you with [Your current position]]', ' In general, how satisfied are you with: [Your current position]', ' [In general, how satisfied are you with [Your current position]]', ' [In general, how satisfied are you with your current position]']"
122,"['fund2[10]_0', 'fund2[SQ007]_0', 'fund2[7]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Industry support]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Industry support]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Industry support]']"
123,"['fund3[10]_0', 'fund3[SQ007]_0', 'fund3[7]_2']","[' Which of the following sources are used to fund your current, largest project? [Industry support]', ' Which of the following sources are used to fund your current, largest project? [Industry support]', ' Which of the following sources are used to fund your current, largest project? [Industry support]']"
124,"['fund4[10]_0', 'fund4[SQ007]_0', 'fund4[7]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Industry support]', ' Which of the following sources were used to fund your current, largest project three years ago? [Industry support]', ' Which of the following sources were used to fund your current, largest project three years ago? [Industry support]']"
125,"['likert2[percEmp1]_0', 'likert4[percEmp1]_0', 'likertagree1[percEmp1]_0']","[' [It would not be very difficult for me to get an equivalent job in a different organisation]', ' [It would not be very difficult for me to get an equivalent job in a different organisation]', ' Please rate the following propositions. There are no right or wrong answers [It would not be very difficult for me to get an equivalent job in a different organisation]']"
126,"['tool4can[17]_0', 'tool4can[SQ016]_0', 'tool4can[11]_1']","[' What programming languages do you use at work? (Select as many as apply) [Java]', ' What programming languages do you use at work? (Select as many as apply) [Java]', ' What programming languages do you use at work? (Select as many as apply) [Java]']"
127,"['tool4can[18]_0', 'tool4can[SQ017]_0', 'tool4can[2]_1']","[' What programming languages do you use at work? (Select as many as apply) [JavaScript]', ' What programming languages do you use at work? (Select as many as apply) [JavaScript]', ' What programming languages do you use at work? (Select as many as apply) [JavaScript]']"
128,"['org2_can[multi]_5', 'org2can[6]_0']","[' What would you hope to get out of such an organization? [Job opportunities]', ' What would you hope to get out of such an organisation (check all that apply)? [Job opportunities]']"
129,"['tool4can[19]_0', 'tool4can[SQ018]_0', 'tool4can[24]_1']","[' What programming languages do you use at work? (Select as many as apply) [Julia]', ' What programming languages do you use at work? (Select as many as apply) [Julia]', ' What programming languages do you use at work? (Select as many as apply) [Julia]']"
130,"['currentEmp13[37]_0', 'currentEmp13[SQ037]_0', 'currentEmp13[38]_1']","[' In which disciplines do you work (select as many as apply) [Land & Property Management]', ' In which disciplines do you work (select as many as apply)? [Land & Property Management]', ' In which disciplines do you work (select as many as apply) [Land & Property Management]']"
131,"['currentEmp13[38]_0', 'currentEmp13[SQ038]_0', 'currentEmp13[39]_1']","[' In which disciplines do you work (select as many as apply) [Law]', ' In which disciplines do you work (select as many as apply)? [Law]', ' In which disciplines do you work (select as many as apply) [Law]']"
132,"['currentEmp13[39]_0', 'currentEmp13[SQ039]_0', 'currentEmp13[40]_1']","[' In which disciplines do you work (select as many as apply) [Librarianship & Information Management]', ' In which disciplines do you work (select as many as apply)? [Librarianship & Information Management]', ' In which disciplines do you work (select as many as apply) [Librarianship & Information Management]']"
133,"['currentEmp13[40]_0', 'currentEmp13[SQ040]_0', 'currentEmp13[41]_1']","[' In which disciplines do you work (select as many as apply) [Linguistics]', ' In which disciplines do you work (select as many as apply)? [Linguistics]', ' In which disciplines do you work (select as many as apply) [Linguistics]']"
134,"['ukrse2[3]_0', 'ukrse2[SQ002]_0', 'ukrse2[2]_2']","[' How do you meet other RSEs? [Local RSE group/network]', ' How do you meet other RSEs? [Local RSE group/network]', ' How do you meet other RSEs? [Local RSE group/network]']"
135,"['tool4can[20]_0', 'tool4can[SQ019]_0', 'tool4can[25]_1']","[' What programming languages do you use at work? (Select as many as apply) [Lua]', ' What programming languages do you use at work? (Select as many as apply) [Lua]', ' What programming languages do you use at work? (Select as many as apply) [Lua]']"
136,"['currentEmp13[41]_0', 'currentEmp13[SQ041]_0', 'currentEmp13[42]_1']","[' In which disciplines do you work (select as many as apply) [Marketing]', ' In which disciplines do you work (select as many as apply)? [Marketing]', ' In which disciplines do you work (select as many as apply) [Marketing]']"
137,"['currentEmp13[42]_0', 'currentEmp13[SQ042]_0', 'currentEmp13[43]_1']","[' In which disciplines do you work (select as many as apply) [Materials Technology]', ' In which disciplines do you work (select as many as apply)? [Materials Technology]', ' In which disciplines do you work (select as many as apply) [Materials Technology]']"
138,"['currentEmp13[43]_0', 'currentEmp13[SQ043]_0', 'currentEmp13[44]_1']","[' In which disciplines do you work (select as many as apply) [Mathematics]', ' In which disciplines do you work (select as many as apply)? [Mathematics]', ' In which disciplines do you work (select as many as apply) [Mathematics]']"
139,"['tool4can[21]_0', 'tool4can[SQ020]_0', 'tool4can[19]_1']","[' What programming languages do you use at work? (Select as many as apply) [Matlab]', ' What programming languages do you use at work? (Select as many as apply) [Matlab]', ' What programming languages do you use at work? (Select as many as apply) [Matlab]']"
140,"['currentEmp13[44]_0', 'currentEmp13[SQ044]_0', 'currentEmp13[45]_1']","[' In which disciplines do you work (select as many as apply) [Mechanical Engineering]', ' In which disciplines do you work (select as many as apply)? [Mechanical Engineering]', ' In which disciplines do you work (select as many as apply) [Mechanical Engineering]']"
141,"['currentEmp13[45]_0', 'currentEmp13[SQ045]_0', 'currentEmp13[46]_1']","[' In which disciplines do you work (select as many as apply) [Medicine]', ' In which disciplines do you work (select as many as apply)? [Medicine]', ' In which disciplines do you work (select as many as apply) [Medicine]']"
142,"['fund2[7]_0', 'fund2[SQ011]_0', 'fund2[13]_1', 'fund2[11]_1']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Membership]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Membership]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Membership]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Membership]']"
143,"['fund3[7]_0', 'fund3[SQ011]_0', 'fund3[13]_1', 'fund3[11]_1']","[' Which of the following sources are used to fund your current, largest project? [Membership]', ' Which of the following sources are used to fund your current, largest project? [Membership]', ' Which of the following sources are used to fund your current, largest project? [Membership]', ' Which of the following sources are used to fund your current, largest project? [Membership]']"
144,"['fund4[7]_0', 'fund4[SQ011]_0', 'fund4[13]_1', 'fund4[11]_1']","[' Which of the following sources were used to fund your current, largest project three years ago? [Membership]', ' Which of the following sources were used to fund your current, largest project three years ago? [Membership]', ' Which of the following sources were used to fund your current, largest project three years ago? [Membership]', ' Which of the following sources were used to fund your current, largest project three years ago? [Membership]']"
145,"['currentEmp13[46]_0', 'currentEmp13[SQ046]_0', 'currentEmp13[47]_1']","[' In which disciplines do you work (select as many as apply) [Middle Eastern and African Studies]', ' In which disciplines do you work (select as many as apply)? [Middle Eastern and African Studies]', ' In which disciplines do you work (select as many as apply) [Middle Eastern and African Studies]']"
146,"['likert2[affSat2]_0', 'likert4[affSat2]_0', 'likertagree2[affSat2]_0']","[' [Most days I am enthusiastic about my job]', ' [Most days I am enthusiastic about my job]', ' Please rate the following propositions. There are no right or wrong answers [Most days I am enthusiastic about my job]']"
147,"['currentEmp13[47]_0', 'currentEmp13[SQ047]_0', 'currentEmp13[48]_1']","[' In which disciplines do you work (select as many as apply) [Music]', ' In which disciplines do you work (select as many as apply)? [Music]', ' In which disciplines do you work (select as many as apply) [Music]']"
148,"['likert2[turnOver5]_0', 'likertagree1[turnOver5]_0']","[' [My current job satisfies my personal needs]', ' Please rate the following propositions. There are no right or wrong answers [My current job satisfies my personal needs]']"
149,"['likert2[percEmp3]_0', 'likert4[percEmp3]_0', 'likertagree1[percEmp3]_0']","[' [My experience is in demand on the labour market]', ' [My experience is in demand on the labour market]', ' Please rate the following propositions. There are no right or wrong answers [My experience is in demand on the labour market]']"
150,"['ukrse2[4]_0', 'ukrse2[SQ003]_0', 'ukrse2[3]_2', 'ukrse2[2]_3']","[' How do you meet other RSEs? [N/A]', ' How do you meet other RSEs? [N/A]', ' How do you meet other RSEs? [N/A]', ' How do you meet other RSEs? [N/A]']"
151,"['org2_can[multi]_0', 'org2can[1]_0']","[' What would you hope to get out of such an organization? [Networking]', ' What would you hope to get out of such an organisation (check all that apply)? [Networking]']"
152,"['proj4can[1]_0', 'proj4can[SQ001]_0']","[' In general, what sort of testing do you conduct on your software? (check all that apply) [No formal testing]', ' In general, what sort of testing do you conduct on your software? (check all that apply) [No formal testing]']"
153,"['currentEmp13[48]_0', 'currentEmp13[SQ048]_0', 'currentEmp13[49]_1']","[' In which disciplines do you work (select as many as apply) [Nursing]', ' In which disciplines do you work (select as many as apply)? [Nursing]', ' In which disciplines do you work (select as many as apply) [Nursing]']"
154,"['tool4can[22]_0', 'tool4can[SQ021]_0', 'tool4can[27]_1']","[' What programming languages do you use at work? (Select as many as apply) [Objective-C]', ' What programming languages do you use at work? (Select as many as apply) [Objective-C]', ' What programming languages do you use at work? (Select as many as apply) [Objective-C]']"
155,"['fund2[14]_0', 'fund2[SQ013]_0', 'fund2[15]_1', 'fund2[13]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Open core]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Open core]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Open core]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Open core]']"
156,"['fund3[14]_0', 'fund3[SQ013]_0', 'fund3[15]_1', 'fund3[13]_2']","[' Which of the following sources are used to fund your current, largest project? [Open core]', ' Which of the following sources are used to fund your current, largest project? [Open core]', ' Which of the following sources are used to fund your current, largest project? [Open core]', ' Which of the following sources are used to fund your current, largest project? [Open core]']"
157,"['fund4[14]_0', 'fund4[SQ013]_0', 'fund4[15]_1', 'fund4[13]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Open core]', ' Which of the following sources were used to fund your current, largest project three years ago? [Open core]', ' Which of the following sources were used to fund your current, largest project three years ago? [Open core]', ' Which of the following sources were used to fund your current, largest project three years ago? [Open core]']"
158,"['currentEmp13[49]_0', 'currentEmp13[SQ049]_0', 'currentEmp13[50]_1']","[' In which disciplines do you work (select as many as apply) [Ophthalmics]', ' In which disciplines do you work (select as many as apply)? [Ophthalmics]', ' In which disciplines do you work (select as many as apply) [Ophthalmics]']"
159,"['tool4can[24]_0', 'tool4can[SQ023]_0', 'tool4can[4]_1']","[' What programming languages do you use at work? (Select as many as apply) [PHP]', ' What programming languages do you use at work? (Select as many as apply) [PHP]', ' What programming languages do you use at work? (Select as many as apply) [PHP]']"
160,"['tool4can[23]_0', 'tool4can[SQ022]_0', 'tool4can[20]_1']","[' What programming languages do you use at work? (Select as many as apply) [Perl]', ' What programming languages do you use at work? (Select as many as apply) [Perl]', ' What programming languages do you use at work? (Select as many as apply) [Perl]']"
161,"['currentEmp13[50]_0', 'currentEmp13[SQ050]_0', 'currentEmp13[51]_1']","[' In which disciplines do you work (select as many as apply) [Pharmacology & Pharmacy]', ' In which disciplines do you work (select as many as apply)? [Pharmacology & Pharmacy]', ' In which disciplines do you work (select as many as apply) [Pharmacology & Pharmacy]']"
162,"['currentEmp13[51]_0', 'currentEmp13[SQ051]_0', 'currentEmp13[52]_1']","[' In which disciplines do you work (select as many as apply) [Philosophy]', ' In which disciplines do you work (select as many as apply)? [Philosophy]', ' In which disciplines do you work (select as many as apply) [Philosophy]']"
163,"['currentEmp13[52]_0', 'currentEmp13[SQ052]_0', 'currentEmp13[53]_1']","[' In which disciplines do you work (select as many as apply) [Physics and Astronomy]', ' In which disciplines do you work (select as many as apply)? [Physics and Astronomy]', ' In which disciplines do you work (select as many as apply) [Physics and Astronomy]']"
164,"['currentEmp13[53]_0', 'currentEmp13[SQ053]_0', 'currentEmp13[54]_1']","[' In which disciplines do you work (select as many as apply) [Physiotherapy]', ' In which disciplines do you work (select as many as apply)? [Physiotherapy]', ' In which disciplines do you work (select as many as apply) [Physiotherapy]']"
165,"['currentEmp13[54]_0', 'currentEmp13[SQ054]_0', 'currentEmp13[55]_1']","[' In which disciplines do you work (select as many as apply) [Politics]', ' In which disciplines do you work (select as many as apply)? [Politics]', ' In which disciplines do you work (select as many as apply) [Politics]']"
166,"['currentEmp13[55]_0', 'currentEmp13[SQ055]_0', 'currentEmp13[56]_1']","[' In which disciplines do you work (select as many as apply) [Psychology]', ' In which disciplines do you work (select as many as apply)? [Psychology]', ' In which disciplines do you work (select as many as apply) [Psychology]']"
167,"['tool4can[25]_0', 'tool4can[SQ024]_0', 'tool4can[28]_1']","[' What programming languages do you use at work? (Select as many as apply) [Python]', ' What programming languages do you use at work? (Select as many as apply) [Python]', ' What programming languages do you use at work? (Select as many as apply) [Python]']"
168,"['tool4can[26]_0', 'tool4can[SQ025]_0', 'tool4can[3]_1']","[' What programming languages do you use at work? (Select as many as apply) [R]', ' What programming languages do you use at work? (Select as many as apply) [R]', ' What programming languages do you use at work? (Select as many as apply) [R]']"
169,['fund2[4]_1'],[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Re-charge or charge-back]']
170,['fund3[4]_1'],"[' Which of the following sources are used to fund your current, largest project? [Re-charge or charge-back]']"
171,['fund4[4]_1'],"[' Which of the following sources were used to fund your current, largest project three years ago? [Re-charge or charge-back]']"
172,"['org2_can[multi]_4', 'org2can[5]_0']","[' What would you hope to get out of such an organization? [Research Software Standards and Interoperability]', ' What would you hope to get out of such an organisation (check all that apply)? [Research software standards and interoperability definition]']"
173,"['org2_can[multi]_2', 'org2can[3]_0']","[' What would you hope to get out of such an organization? [Research collaborations]', ' What would you hope to get out of such an organisation (check all that apply)? [Research collaborations]']"
174,"['currentEmp13[56]_0', 'currentEmp13[SQ056]_0', 'currentEmp13[57]_1']","[' In which disciplines do you work (select as many as apply) [Robotics]', ' In which disciplines do you work (select as many as apply)? [Robotics]', ' In which disciplines do you work (select as many as apply) [Robotics]']"
175,"['tool4can[27]_0', 'tool4can[SQ026]_0', 'tool4can[34]_1']","[' What programming languages do you use at work? (Select as many as apply) [Ruby]', ' What programming languages do you use at work? (Select as many as apply) [Ruby]', ' What programming languages do you use at work? (Select as many as apply) [Ruby]']"
176,"['currentEmp13[57]_0', 'currentEmp13[SQ057]_0', 'currentEmp13[58]_1']","[' In which disciplines do you work (select as many as apply) [Russian & East European Languages]', ' In which disciplines do you work (select as many as apply)? [Russian & East European Languages]', ' In which disciplines do you work (select as many as apply) [Russian & East European Languages]']"
177,"['tool4can[28]_0', 'tool4can[SQ027]_0', 'tool4can[12]_1']","[' What programming languages do you use at work? (Select as many as apply) [Rust]', ' What programming languages do you use at work? (Select as many as apply) [Rust]', ' What programming languages do you use at work? (Select as many as apply) [Rust]']"
178,"['tool4can[31]_0', 'tool4can[SQ030]_0', 'tool4can[13]_1']","[' What programming languages do you use at work? (Select as many as apply) [SQL]', ' What programming languages do you use at work? (Select as many as apply) [SQL]', ' What programming languages do you use at work? (Select as many as apply) [SQL]']"
179,"['fund2[SQ010]_0', 'fund2[12]_1', 'fund2[10]_1']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [SaaS]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [SaaS]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [SaaS]']"
180,"['fund3[SQ010]_0', 'fund3[12]_1', 'fund3[10]_1']","[' Which of the following sources are used to fund your current, largest project? [SaaS]', ' Which of the following sources are used to fund your current, largest project? [SaaS]', ' Which of the following sources are used to fund your current, largest project? [SaaS]']"
181,"['fund4[SQ010]_0', 'fund4[12]_1', 'fund4[10]_1']","[' Which of the following sources were used to fund your current, largest project three years ago? [SaaS]', ' Which of the following sources were used to fund your current, largest project three years ago? [SaaS]', ' Which of the following sources were used to fund your current, largest project three years ago? [SaaS]']"
182,"['tool4can[29]_0', 'tool4can[SQ028]_0', 'tool4can[26]_1']","[' What programming languages do you use at work? (Select as many as apply) [Scala]', ' What programming languages do you use at work? (Select as many as apply) [Scala]', ' What programming languages do you use at work? (Select as many as apply) [Scala]']"
183,"['tool4can[30]_0', 'tool4can[SQ029]_0', 'tool4can[8]_1']","[' What programming languages do you use at work? (Select as many as apply) [Smalltalk]', ' What programming languages do you use at work? (Select as many as apply) [Smalltalk]', ' What programming languages do you use at work? (Select as many as apply) [Smalltalk]']"
184,"['currentEmp13[58]_0', 'currentEmp13[SQ058]_0', 'currentEmp13[59]_1']","[' In which disciplines do you work (select as many as apply) [Social Policy]', ' In which disciplines do you work (select as many as apply)? [Social Policy]', ' In which disciplines do you work (select as many as apply) [Social Policy]']"
185,"['currentEmp13[59]_0', 'currentEmp13[SQ059]_0', 'currentEmp13[60]_1']","[' In which disciplines do you work (select as many as apply) [Social Work]', ' In which disciplines do you work (select as many as apply)? [Social Work]', ' In which disciplines do you work (select as many as apply) [Social Work]']"
186,"['currentEmp13[60]_0', 'currentEmp13[SQ060]_0', 'currentEmp13[61]_1']","[' In which disciplines do you work (select as many as apply) [Sociology]', ' In which disciplines do you work (select as many as apply)? [Sociology]', ' In which disciplines do you work (select as many as apply) [Sociology]']"
187,"['org2_can[multi]_1', 'org2can[2]_0']","[' What would you hope to get out of such an organization? [Software collaborations]', ' What would you hope to get out of such an organisation (check all that apply)? [Software collaborations]']"
188,"['currentEmp13[61]_0', 'currentEmp13[SQ061]_0', 'currentEmp13[62]_1']","[' In which disciplines do you work (select as many as apply) [Sports Science]', ' In which disciplines do you work (select as many as apply)? [Sports Science]', ' In which disciplines do you work (select as many as apply) [Sports Science]']"
189,['fund2[5]_0'],[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Stifterverband]']
190,['fund3[5]_0'],"[' Which of the following sources are used to fund your current, largest project? [Stifterverband]']"
191,['fund4[5]_0'],"[' Which of the following sources were used to fund your current, largest project three years ago? [Stifterverband]']"
192,"['tool4can[32]_0', 'tool4can[SQ031]_0', 'tool4can[1]_1']","[' What programming languages do you use at work? (Select as many as apply) [Swift]', ' What programming languages do you use at work? (Select as many as apply) [Swift]', ' What programming languages do you use at work? (Select as many as apply) [Swift]']"
193,"['proj4can[3]_0', 'proj4can[SQ003]_0']","[' In general, what sort of testing do you conduct on your software? (check all that apply) [Test engineers conduct testing]', ' In general, what sort of testing do you conduct on your software? (check all that apply) [Test engineers conduct testing]']"
194,"['currentEmp13[62]_0', 'currentEmp13[SQ062]_0', 'currentEmp13[63]_1']","[' In which disciplines do you work (select as many as apply) [Theology & Religious Studies]', ' In which disciplines do you work (select as many as apply)? [Theology & Religious Studies]', ' In which disciplines do you work (select as many as apply) [Theology & Religious Studies]']"
195,"['currentEmp13[63]_0', 'currentEmp13[SQ063]_0', 'currentEmp13[64]_1']","[' In which disciplines do you work (select as many as apply) [Town & Country Planning and Landscape Design]', ' In which disciplines do you work (select as many as apply)? [Town & Country Planning and Landscape Design]', ' In which disciplines do you work (select as many as apply) [Town & Country Planning and Landscape Design]']"
196,"['fund2[15]_0', 'fund2[SQ016]_0', 'fund2[18]_0', 'fund2[16]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Trademark licensing & franchising]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Trademark licensing & franchising]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Trademark licensing & franchising]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Trademark licensing & franchising]']"
197,"['fund3[15]_0', 'fund3[SQ016]_0', 'fund3[18]_0', 'fund3[16]_2']","[' Which of the following sources are used to fund your current, largest project? [Trademark licensing & franchising]', ' Which of the following sources are used to fund your current, largest project? [Trademark licensing & franchising]', ' Which of the following sources are used to fund your current, largest project? [Trademark licensing & franchising]', ' Which of the following sources are used to fund your current, largest project? [Trademark licensing & franchising]']"
198,"['fund4[15]_0', 'fund4[SQ016]_0', 'fund4[18]_0', 'fund4[16]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Trademark licensing & franchising]', ' Which of the following sources were used to fund your current, largest project three years ago? [Trademark licensing & franchising]', ' Which of the following sources were used to fund your current, largest project three years ago? [Trademark licensing & franchising]', ' Which of the following sources were used to fund your current, largest project three years ago? [Trademark licensing & franchising]']"
199,"['org2_can[multi]_3', 'org2can[4]_0']","[' What would you hope to get out of such an organization? [Training]', ' What would you hope to get out of such an organisation (check all that apply)? [Training]']"
200,"['tool4can[33]_0', 'tool4can[SQ032]_0', 'tool4can[14]_1']","[' What programming languages do you use at work? (Select as many as apply) [TypeScript]', ' What programming languages do you use at work? (Select as many as apply) [TypeScript]', ' What programming languages do you use at work? (Select as many as apply) [TypeScript]']"
201,"['ukrse2[1]_0', 'ukrse2[1]_1', 'ukrse2[1]_2']","[' How do you meet other RSEs? [UK RSE Association (http://rse.ac.uk/)]', ' How do you meet other RSEs? [UK RSE Association / Conference]', ' How do you meet other RSEs? [UK RSE Association]']"
202,"['proj4can[4]_0', 'proj4can[SQ004]_0']","[' In general, what sort of testing do you conduct on your software? (check all that apply) [Users conduct testing]', ' In general, what sort of testing do you conduct on your software? (check all that apply) [Users conduct testing]']"
203,"['tool4can[34]_0', 'tool4can[SQ033]_0', 'tool4can[33]_1']","[' What programming languages do you use at work? (Select as many as apply) [VB.NET]', ' What programming languages do you use at work? (Select as many as apply) [VB.NET]', ' What programming languages do you use at work? (Select as many as apply) [VB.NET]']"
204,"['tool4can[35]_0', 'tool4can[SQ034]_0', 'tool4can[31]_1']","[' What programming languages do you use at work? (Select as many as apply) [VBA]', ' What programming languages do you use at work? (Select as many as apply) [VBA]', ' What programming languages do you use at work? (Select as many as apply) [VBA]']"
205,"['fund2[12]_0', 'fund2[SQ015]_0', 'fund2[17]_0', 'fund2[15]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Venture capital]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Venture capital]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Venture capital]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Venture capital]']"
206,"['fund3[12]_0', 'fund3[SQ015]_0', 'fund3[17]_0', 'fund3[15]_2']","[' Which of the following sources are used to fund your current, largest project? [Venture capital]', ' Which of the following sources are used to fund your current, largest project? [Venture capital]', ' Which of the following sources are used to fund your current, largest project? [Venture capital]', ' Which of the following sources are used to fund your current, largest project? [Venture capital]']"
207,"['fund4[12]_0', 'fund4[SQ015]_0', 'fund4[17]_0', 'fund4[15]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Venture capital]', ' Which of the following sources were used to fund your current, largest project three years ago? [Venture capital]', ' Which of the following sources were used to fund your current, largest project three years ago? [Venture capital]', ' Which of the following sources were used to fund your current, largest project three years ago? [Venture capital]']"
208,"['currentEmp13[64]_0', 'currentEmp13[SQ064]_0', 'currentEmp13[65]_1']","[' In which disciplines do you work (select as many as apply) [Veterinary Medicine]', ' In which disciplines do you work (select as many as apply)? [Veterinary Medicine]', ' In which disciplines do you work (select as many as apply) [Veterinary Medicine]']"
209,"['tool4can[36]_0', 'tool4can[SQ035]_0', 'tool4can[17]_1']","[' What programming languages do you use at work? (Select as many as apply) [Visual Basic]', ' What programming languages do you use at work? (Select as many as apply) [Visual Basic]', ' What programming languages do you use at work? (Select as many as apply) [Visual Basic]']"
210,['fund3[SQ001]_0'],"[' Which of the following sources are used to fund your current, largest project? [Volunteers]']"
211,['fund4[SQ001]_0'],"[' Which of the following sources were used to fund your current, largest project three years ago? [Volunteers]']"
212,"['currentEmp13[65]_0', 'currentEmp13[SQ065]_0', 'currentEmp13[66]_0']","[' In which disciplines do you work (select as many as apply) [Youth Work]', ' In which disciplines do you work (select as many as apply)? [Youth Work]', ' In which disciplines do you work (select as many as apply) [Youth Work]']"
213,"['edu1_0', 'edu1_1', 'edu1_2']","[' What is the highest level of education you have attained?', ' What is the highest qualification you have obtained?', ' What is the highest degree/qualification you have obtained?']"
214,"['edu2_0', 'edu2_1', 'edu2_2']","[' In which discipline is your highest academic qualification?', ' In which subject is your highest academic qualification?', ' In which subject is your highest academic degree/qualification?']"
215,"['edu4_0', 'edu4_1', 'edu4_2']","[' List any professional qualifications you hold (eg. P. Eng, PMP, …)', ' Do you hold any other professional qualifications?', ' Do you hold any other professional degrees/qualifications? (Please enter each of them separated by a semicolon)']"
216,"['conf2can_0', 'conf2can_1', 'conf2can_2', 'conf2can_3', 'conf2_can_0']","[' Which conference(s)/workshop(s) (comma separated list with FULLNAME (ACRONYM), ACRONYM, ...)', ' Which conferences or workshops?', ' Which conference(s)/workshop(s) (comma separated list with FULLNAME (ACRONYM))', ' Which conference(s)/workshop(s) (Please write a comma separated list with FULLNAME and ACRONYM)', ' Which conference(s)/workshop(s)?']"
